Date,granoer_hammer,guben_2,guben_sprucke
2009-09-04,0.11785714285714285,10.24642857142857,0.097
2009-09-05,0.11589285714285714,10.192857142857143,0.09666666666666668
2009-09-06,0.11392857142857143,10.139285714285714,0.09633333333333334
2009-09-07,0.11196428571428571,10.085714285714285,0.096
2009-09-08,0.11,10.032142857142857,0.09566666666666668
2009-09-09,0.112,9.688571428571429,0.08933333333333333
2009-09-10,0.112,9.635,0.089
2009-09-11,0.112,9.632857142857143,0.08866666666666667
2009-09-12,0.112,9.630714285714285,0.08833333333333333
2009-09-13,0.112,9.628571428571428,0.088
2009-09-14,0.112,9.626428571428571,0.08116666666666666
2009-09-15,0.112,9.624285714285714,0.08083333333333334
2009-09-16,0.11316666666666667,9.622142857142856,0.0805
2009-09-17,0.11375,9.62,0.08016666666666666
2009-09-18,0.11433333333333334,9.04,0.07983333333333334
2009-09-19,0.13091666666666668,8.975,0.07400000000000001
2009-09-20,0.1315,8.91,0.07366666666666666
2009-09-21,0.13208333333333333,8.844999999999999,0.07333333333333333
2009-09-22,0.13266666666666665,8.780000000000001,0.07300000000000001
2009-09-23,0.13325,8.715,0.07266666666666667
2009-09-24,0.19233333333333336,8.653333333333332,0.06533333333333333
2009-09-25,0.19291666666666668,8.59,0.065
2009-09-26,0.1935,8.594999999999999,0.06538888888888889
2009-09-27,0.19408333333333333,8.673333333333332,0.06577777777777778
2009-09-28,0.19466666666666668,8.69,0.06616666666666667
2009-09-29,0.14675,8.82,0.07155555555555555
2009-09-30,0.14733333333333334,9.004999999999999,0.07194444444444445
2009-10-01,0.1479166666666667,9.135,0.07233333333333333
2009-10-02,0.14850000000000002,9.594999999999999,0.07272222222222222
2009-10-03,0.14908333333333335,9.545,0.0731111111111111
2009-10-04,0.1376666666666667,9.445,0.072
2009-10-05,0.13825,9.315,0.072
2009-10-06,0.13883333333333336,9.73,0.074
2009-10-07,0.1394166666666667,10.315000000000001,0.0775
2009-10-08,0.14,10.765,0.0735
2009-10-09,0.155,10.865,0.088
2009-10-10,0.15905,10.315000000000001,0.09
2009-10-11,0.1631,10.515,0.092
2009-10-12,0.16715,10.715,0.10666666666666666
2009-10-13,0.17120000000000002,10.965,0.11
2009-10-14,0.20875,11.965,0.15083333333333332
2009-10-15,0.2128,15.9,0.15416666666666667
2009-10-16,0.21685,16.45,0.1575
2009-10-17,0.22089999999999999,17.8,0.16083333333333333
2009-10-18,0.22494999999999998,18.339,0.16416666666666668
2009-10-19,0.236,18.6412,0.1825
2009-10-20,0.2374,18.9434,0.18583333333333335
2009-10-21,0.23879999999999998,19.2456,0.18916666666666668
2009-10-22,0.2402,19.5478,0.1925
2009-10-23,0.24159999999999998,19.85,0.193
2009-10-24,0.25,23.872727272727275,0.20866666666666667
2009-10-25,0.25,23.795454545454547,0.212
2009-10-26,0.25,23.71818181818182,0.21085714285714285
2009-10-27,0.25,23.64090909090909,0.20971428571428571
2009-10-28,0.25,23.563636363636363,0.20857142857142857
2009-10-29,0.25,23.486363636363638,0.23992857142857144
2009-10-30,0.25,23.40909090909091,0.2387857142857143
2009-10-31,0.25,23.331818181818186,0.23764285714285716
2009-11-01,0.25,23.254545454545458,0.23650000000000002
2009-11-02,0.2532142857142857,21.62727272727273,0.23535714285714288
2009-11-03,0.2617857142857143,21.55,0.2337142857142857
2009-11-04,0.2628571428571429,21.426923076923078,0.2325714285714286
2009-11-05,0.2639285714285714,21.303846153846152,0.23142857142857143
2009-11-06,0.265,21.18076923076923,0.2302857142857143
2009-11-07,0.265,21.057692307692307,0.22914285714285715
2009-11-08,0.265,20.934615384615384,0.20600000000000002
2009-11-09,0.26375000000000004,20.81153846153846,0.20485714285714285
2009-11-10,0.2625,20.68846153846154,0.20371428571428574
2009-11-11,0.26125,19.515384615384615,0.20257142857142857
2009-11-12,0.26,19.39230769230769,0.20142857142857143
2009-11-13,0.25125,19.269230769230766,0.1672857142857143
2009-11-14,0.25,19.146153846153844,0.166
2009-11-15,0.24933333333333335,19.02307692307692,0.16499999999999998
